company_name,date,cgpa_criteria,ctc,stipend,activity,branch,venue,skills_required
Equifax.,-,-,-,-,- at 9.30 AM,-,"CE Seminar Hall, T&P Cell For your kind information",-
Dell Technologies for the summer internship,-,-,-,-,- at 9.30 AM,-,"Auditorium, T&P Cell 2. AMCAT test (first attempt) of TE E&TC students.",-
ION.,-,-,-,-,- at 8.30 AM,-,"Unit No 701, Commerzone Complex, Building 3, 7th floor, Samrat Ashok Path, Yerwada, Pune, 411006 For your kind information",-
Qualys.,-,-,-,-,- at 9.30 AM,-,"Auditorium , T&P Cell 2. Aptitude and coding Assessment for the shortlisted students by the company Dell Technology for the internship.",-
PhonePe,01-08-2024,CGPA > 6.82,33.57 LPA,-,"PPT, Online test, Technical & HR interviews","CE, E&TC, IT (UG)","Auditorium, Seminar Hall, Dept. Labs, T&P Cell","C++, tech stack, databases (MySQL), NoSQL (HBase, Elasticsearch, Aerospike)"
Ittiam Systems,"04/08/24, 06/08/24, 07/08/24",CGPA > 8.42,16 LPA,-,"Aptitude & Coding Assessment, PPT, Technical, HR interviews","CE, E&TCE, IT (UG)","Virtual Location: Bangalore, Auditorium, Seminar Hall, T&P Cell","processing, computer vision, machine learning, analytics"
Siemens,07-08-2024,CGPA > 8,11 LPA,-,"Aptitude and Coding Assessment, Technical, HR interviews","CE, E&TCE, IT","Dept. Labs, T&P Cell","Application Development, Programming Language"
ACI Worldwide,08-08-2024,CGPA > 8,12.50 LPA,-,"PPT, Aptitude & Coding Assessment, Technical, HR interview","CE, E&TCE and IT (UG)","Auditorium, Seminar Hall, Department Labs, ACI Worldwide, 1st floor, Marisoft III, Marigold, Kalyaninagar, Pune, 411014","Java Script, JQuery, Oracle and PGSQL SQL knowledge"
ZS Associates,08-08-2024,"CGPA > 7, SSC, HSC > 70%",13.65 LPA,-,"PPT, On-line Assessment, Technical, HR Interviews","CE, E&TCE and IT (UG)","Auditorium, Seminar Hall, Virtual, T&P Cell",
Avaya,10-08-2024,CGPA > 8.5,14 LPA,-,"PPT, Online test, Technical, HR interviews","CE, E&TCE, and IT (UG)","Auditorium and Seminar Halls, Dept. Labs, T&P Cell",
Avaya,10-08-2024,CGPA > 8.5,14 LPA,-,"PPT, Aptitude and Coding assessment, Technical, HR interviews","CE, E&TCE, IT (UG)","Auditorium, Dept. Labs, T&P Cell",
eQ Technologic,20-08-2024,CGPA > 6.82 (No backlogs),"DEV- 13.88 LPA (CE and IT), QA- 11.13 LPA (E&TCE)",-,"PPT, Aptitude and Coding Assessment, Technical, HR interviews","CE, E&TCE, IT",Virtual,"Java, Software Development, Design, Algorithms, Data Structures, Testing, QA, Automation"
Druva,"23/08/24, 27/08/24","CGPA > 8, SSC > 80%, HSC > 75%",17 LPA,-,"PPT, Aptitude and Coding Assessment, Technical, HR interviews",CE & IT (UG),"Auditorium, Seminar Hall, Department Labs, 8th & 9th Floor The Pavilion, Senapati Bapat Rd, Pune 411015",
Wissen Technology,24-08-2024,"CGPA > 7, SSC, HSC = 60%",9.50 LPA,-,"Aptitude & Coding Assessment, Technical, HR Interviews","CE, E&TCE and IT (UG)","Department Labs, T&P Cell",
IDeaS,26-08-2024,CGPA > 8.50,12.39 LPA,-,"PPT, Aptitude & Coding Test, Technical, HR Interviews","CE, E&TCE, IT","Auditorium, Department Labs, T&P Cell",
Merilytics,27-08-2024,"CGPA > 7.30, SSC,HSC= 65 o/o",8.50 LPA,-,"Aptitude & Coding Assessment, Technical, HR Interviews","CE, E&TCE and IT (UG)","Department Labs, T&P Cell","communicate your thoughts/work to the client or internal teams, models, towards solving complex problems"
Arista Networks,28-08-2024,"CGPA > 8, SSC, HSC= 65 o/o",29.44 LPA,-,"PPT, Aptitude and Coding Assessment, Technical, HR Interviews","CE, E&TCE and IT (UG)","Auditorium, Seminar Hall, Department Labs, T&P Cell","C++, Python, Go, Java, Javascript, architecture skills, strong product-engineering environment, to work on their own with very little supervision and management"
HARMAN,03-01-2025,"CGPA > 7.5, SSC, HSC= 60%",5.50 LPA,-,"Aptitude and Coding Assessment, Technical, HR Interviews","CE, E&TCE, IT",Virtual,"C++, Android, Java, Python, Object-Oriented Design"
Invimatic Technologies,03-01-2025,No Criteria,5 LPA,-,"GD, Technical test, Technical, HR Interviews","CE, E&TCE, IT","3rd Floor, Gera-77, Ramwadi, Kalyani Nagar, Pune, 411006","OOPS, .Net, Java, React, Python, DevOps, Software Tools"
Honeywell,12-01-2025,CGPA > 7,7 LPA + 1 lakh Joining Bonus,-,"Technical, HR interview",CE and IT (UG),T&P Cell,"detail, within teams, languages, practices"
JTP,16-01-2025,,24 LPA (Three years'service agreement),-,Aptitude & Coding Assessment,"CE, E&TC and IT (UG)",F:102A,
Cell.do,20-01-2025,CGPA: 7,5 LPA,-,Interviews,"CE, E&TCE & IT (UG&PG)",Virtual,"Knowledge in product management and QA methodology preferred, Reporting and tracking defects using JIRA, Manual Testing, API Testing and Performance Testing using Jmeter & Taurus, Web Automation using Selenium and Java, Knowledge of Agile Methodology and Regression testing"
SigLens,19-02-2025,,15 LPA,-,"PPT, Aptitude and Coding Assessment","CE, E&TCE & IT (UG)","Auditorium, Department and Coding Labs",
TIAA,21-02-2025,7 CGPA,10.48 LPA,-,"Technical, HR Interviews of shortlisted students","CE, E&TCE, IT (UG)",T&P Cell,"OOPS, .Net, Java, React, Python, DevOps, software tools"
Hashdin,17-03-2025,CGPA: 7,8.10 LPA,-,Aptitude and Coding Assessment,"CE, E&TCE & IT (UG)",Department and Coding Labs,"Data structures, Algorithms, Programming concepts, Database design, OOP, Operating systems, Networking, Java, C/C++, Python, JavaScript, Databases, Web applications (frontend, backend), Git, SDLC, Functional programming, AWS, Google Cloud Platform, Azure"
Johnson Controls,18-03-2025,CGPA: 7,6.50 LPA,-,"PPT, Aptitude and Coding Assessment, Interviews",CE & IT (UG),"Tower 3, Commerzone IT Park Internal Rd, Commerzone IT Park, Yerawada, Pune, 411006","Python, Azure, Agile, SAFe, Troubleshooting, Debugging, Kafka, Spark, Snowflake, HBase, Flink, JAVA, SQL, GIT, RESTful services, API development, OOP, .Net Framework, C#, Angular 14.0+, React, SQL Server, MySQL, Postgres, Git, AWS"
Quorum,24-03-2025,"CGPA: 8, SSC, HSC= 70%",7 LPA,-,"PPT, Aptitude and Coding Assessment, Interviews","CE, E&TCE & IT (UG)","5th Floor, Wing- 4, HW2X+GXM cluster D, EON Free Zone, Kharadi, Pune, 411014",
Amdocs,10-05-2025,"CGPA: 6.82 Throughout, with no gaps or breaks/year down, SSC: 60%, HSC: 60%",6.50 LPA,-,"Technical, HR Interview","CE, E&TCE, IT (UG)","Tower 12, Magarpatta Inner Circle, Cybercity, Magarpatta, Hadapsar, Pune, 411028",
MSCI,15-05-2025,CGPA: 6.82 (No active backlog),15 LPA,-,"Coding Assessment, Technical, HR Interview","CE, E&TCE, IT (UG and PG)",Department Labs.,"Flask, Databases development, unit testing framework like pytest/unittest, developing and managing microservices on cloud"
Yardi,"06/06/25, 09/06/25",CGPA >= 6.62,5.50 LPA,-,"Aptitude and coding test, Technical, HR Interview","CE, E&TC, IT (UG)","Virtual, 2, Sigma House, Senapati Bapat Rd, Vaiavadi, Laxmi Society Model Colony, Shivajinagar, Pune 411016",
Enlyft,"06/06/25, 07/06/25",CGPA-7,12.15 LPA,-,"Aptitude and Coding, Technical, HR Interviews","CE, E&TC, IT (UG)","Virtual, 2421 East Street Galleria Shop 29, Subjeev Business Centre, East St, Camp, Pune 411001","AWS, Azure, GCP"
TATA Technologies,17-07-2025,CGPA:7.05%,"4.50 LPA (UG), 5.50 LPA (PG)",-,Interviews,"CE, E&TCE & IT (UG&PG)","Plot No. 25, Rajiv Gandhi Infotech Park, Hinjawadi, Pune, India - 411",
Bank of New York,26/07/ 2025,-,-,"Rs. 75,000/- per month For your kind information",Aptitude and Coding Assessment at 9.30 AM to 12.30 PM,"CE, E&TC, IT, ECE and AIDS",A3 & F Building Classrooms,Summer Intern
Bank of New York,26/07/ 2025,-,-,"Rs. 75,000/- per month For your kind information",Aptitude and Coding Assessment at 9.30 AM to 12.30 PM,"CE, E&TC, IT, ECE and AIDS",A3 & F Building Classrooms,Summer Intern
PhonePe,01/08/2025,CGPA- 7,32.75 LPA For your kind information,-,"PPT, Aptitude and Coding Assessment at 2 PM","CE, E&TCE and IT (UG )","Auditorium, Seminar Hall, F & A3 Building Classrooms andT&P cell",Software Engineer
ZS Associate,0 3/08/2025,"CGPA- 7 SSC, HSC -70%",13.65 LPA For your kind information,-,Tech Test (Virtual) at 1 PM,"CE, E&TCE and IT ( UG )",Virtual,Business Technology Solutions Associate Job Location: Pune
eQ Technogic,04/08/2025,CGPA- 6.74 (company shortlist),Dev- 13.88 LPA QA- 1 1.13 LPA For your kind information,-,"PPT, Aptitude and Coding Assessment at 8.45 AM","CE, E&TC and IT ( UG )",Virtual,1. Software Developer 2. Quality Assurance
Siemens,05/08/2025,Shortlist by the company,12+ LPA,-,Aptitude and Coding Assessment at 3.45 PM,"CE, E&TC and IT",FE Class Rooms,Software Engineer
Commvault System,07/08/ 2025,CGPA: 9 (No active backlog),"16 Lakh INR Base salary Annually + 19000 USD RSU + 75,000 INR (Relocation Allowance if required) •","– 50,000 Monthly.",Aptitude and Coding Assessment at 8.45AM,CE and IT,FE Class Rooms,Software Developer
ZS Associates,08/08/2025,CGPA-7.86,13.65 LPA For your kind information,-,Interviews of the shortlisted students at 8.30 AM,"CE, E&TC and IT",T&P Cell,BTSA
Barclays,09/08/2025,Shortlist by the company,13.50 LPA,"Rs. 75,000/- For your kind information",Aptitude and Coding test at 1.15 PM,"CE,E&TC and IT (UG TE and BE)","F-206,207,307,308,402 A3-007,010,107,108,109",1. Software Developer (Grads) 2. Summer Intern (TE)
One Card,11/08/2025,CGPA-8,16.20 LPA For your kind information,-,"PPT, Aptitude and Coding Assessment, Interviews of the shortlisted students at 8.15 AM","CE, E&TC and IT","Seminar Halls, FE Class Rooms, Library Reading Hall, T&P cell",Software Engineer
Bank of New York,13/08/ 2025,-,-,"Rs. 75,000/- per month For your kind information","PPT, Interview of the shortlisted students at 8.15 AM","CE, E&TCE and IT","Seminar Hall, T&P Cell",-
Toshiba,16/08/2025,CGPA- 8 SSC HSC -70%,11.50 LPA For your kind information,-,"PPT, aptitude and coding test at 12.30 PM","CE, E&TC and IT (UG )","Seminar Halls, Class Rooms",1. Associate Software Engineer 2. Hardware Engineer
Nice System,23/08/2025,CGPA- 8,12 LPA For your kind information,-,Aptitude and Coding Assessment at 4.15 PM,"CE, E&TC and IT (UG)",F and A3 Building Class Rooms,Associate Software Engineer Job Location: Pune
Accordion D&A,24/08/2025,"CGPA- 6.5, SSC, HSC-65% (Company will share the eligible students)",8.50 LPA For your kind information,-,Aptitude and coding test at 10.30 AM,"CE, E&TCE and IT ( UG )",Class rooms,Data Analyst Location: Hyderabad
Arista Network,28/08/2025,CGPA- 8,29.44 LPA 2. Interviews of the shortlisted students by the company General Mills for the summer,-,"PPT, Aptitude and Coding Assessment at 8.30 AM","CE, E&TCE and IT (UG)","Auditorium, Seminar Hall, F Building Class Rooms",Software Engineer
Pattern Technologies,30/08/ 2025,-,-,"Rs. 50,000/- per month For your kind information",Aptitude and Coding Assessment at 10.30 AM,CE,F Building Class Rooms,Software Engineering Intern
Flextrade,01/09/2025,"CGPA- 7.5, (Shortlist by the Company)","9.96, 9 and 8 LPA For your kind information",-,Aptitude and Coding Assessment at 9.30 am,"CE, E&TC and IT (UG )",F Building Class Rooms and Labs,"C++ Developer, Technical Analyst , FIX Analyst"
UPTIQ,08/09/2025,CGPA- 7.5,22 LPA 2. Company: Entrata,-,Aptitude and Coding Assessment at 9.30 AM,"CE, E&TC and IT (UG )","Class rooms, T&P Cell",Software Developer
Wissen Technology,12/09/2025,CGPA- 7.5,9.50 LPA For your kind information,-,"Aptitude and coding test, PPT at 8 AM","CE, E&TCE and IT ( UG )","Class Rooms, Auditorium , Seminar Hall,T& P Cell",software engineer
Sell.do,20/09/2025,CGPA: 7,8.50 LPA For your kind information,-,"PPT Aptitude test, GDs, Interviews at 9.30 AM","CE, E&TC and IT (UG)","Auditorium, CE seminar hall, F Building class Rooms",Product Engineer
SAP,22/09/2025,CGPA- 7,8 LPA For your kind information,-,"PPT , aptitude and technical test, interviews at 9.30 AM","CE, E&TC and IT (UG )","Auditorium, Department Labs, T&P Cell",Associate Consultant
Promobi Technologies,23/09/2025,CGPA- 7.5 (Shortlist by the company),8-10 LPA 2. Company: ARAI,-,"PPT, Aptitude and Coding Assessment at 1.30 PM","IT (UG), PG (CE &DS)","Auditorium, department labs",Software Engineer
Concentric AI,24/09/2025,Shortlist by the company,17.50 LPA 2. Pre-Placement talk by BMC for,-,"PPT , aptitude and technical test, interviews at 9.30 AM",CE and IT (UG and PG ),"Auditorium, Reading Hall/ Class Rooms, T&P Cell",SDE
NCS Technologies,29/09/2025,Shortlist by the company,6.82 LPA For your kind information,-,"PPT, Aptitude and Coding Assessment at 3 PM",CE and IT ( UG ),"Auditorium, FE Class Rooms, T&P Cell",Software Engineer
ION Group,04/10/2025,CGPA- 8,17.30 LPA 2. Pre placement talk by TCS for the registered students.,-,Aptitude and Coding test at 3.30 PM,"CE, E&TCE and IT (UG )",Department labs/Class Rooms,"Software Developer, Technical Analyst"
"Kylas, Beyond walls.",10/10/2025,CGPA- 7,"9, 7, 6 LPA For your kind information",-,"PPT , Aptitude and Coding Assessment, GDs, Interviews at 8 am","CE, E&TC and IT ( UG )","Auditorium, Library Reading hall, T&P Cell","Product Engineer , Account Executive, Tech Sales"
IBM,13/10/2025,CGPA-7.5,11 LPA For your kind information,-,"PPT, Aptitude and Coding assessment at 11 AM","CE, E&TC and IT (UG)",Virtual,Software Developer
Aspect Ratio,28/10/2025,CGPA- 7.38 (Company shortlist),12 LPA For your kind information,-,Online assessment at 9.15 AM,"CE, E&TC and IT ( UG )","IT Seminar hall, RH",Analyst
ACI Worldwide,29/10/2025,"CGPA- 8 SSC,HSC-65%",12.50 LPA 2. Interviews of the shortlisted students by Aspect Ratio.,-,"PPT, Aptitude and coding test at 2 PM","CE, E&TC and IT ( UG )","Auditorium, seminar hall, department Labs, Class Rooms",software engineer
Iaura,31/10/2025,CGPA- 7,5-8 LPA For your kind information,-,"PPT, Online assessment and Interviews at 9.15 AM",CE and IT ( UG ),"Auditorium, Class Rooms",Entey level fresher
Rahi Technologies,03/11/2025,CGPA 7.5 (Shortlist by the company),8.50 LPA For your kind information,-,"PPT, Aptitude and Coding Assessment at 10.15 AM",CE and IT (UG),"Auditorium, Class Rooms",Softwares Engineer
IBM,05/11/2025,CGPA- 7 (Only Female students),4.50 LPA 2. Interviews of the shortlisted students by the company ION Group.,-,Aptitude and Coding Assessment at 6.30 PM,CE and IT (UG),Virtual,Consulting
AT20.ai,07/11/2025,CGPA- 7 (Shortlist by the company),8-10 LPA For your kind information,-,Aptitude and Coding Assessment at 7 PM,CE and IT (UG),Virtual,"Full stack developer, Data Engineer, AL/ML Engineer"
Fractal,13/11/2025,CGPA-7.5,10 LPA For your kind information,-,"PPT, On-line assessment at 3 pm","CE, E&TC and IT (UG)",Virtual,"Decision Science, Data Science & Data Engineer"
NVIDIA,19/11/ 2025,-,-,"Rs. 40,000/- per month For your kind information",Aptitude and Coding Assessment at 2.45 PM,"CE, E&TC and IT",Class Rooms/ Department Labs,QA Tools and Test Development Intern
Western Union,28/11/2025,CGPA-6.74,7.25 LPA For your kind information,-,"PPT, On-line assessment, interview at 8.30 AM","CE, E&TC and IT (UG)","Auditorium, Class Rooms, T&P Cell",Trainee Associate
Emcure,02/12/2025,CGPA-6.74,5 LPA For your kind information,-,"PPT, On-line assessment, interview at 8.30 AM",CE and IT (UG),"Auditorium, Class Rooms, T&P Cell",Graduate Trainee Engineer
GEP,03/12/2025,CGPA-8,20 LPA 2. Group Discussion of the shortlisted students by the company Rocket Software.,-,On-line assessment at 7 PM,"CE, E&TC and IT (UG)",Virtual,1. Software Engineer 2. Associate Data Scientist
Modulr,04/12/2025,CGPA-8 (Shortlist by the company),12 LPA For your kind information,-,"PPT, On-line assessment at 2 PM",CE and IT (UG),"Auditorium, Class Rooms, T&P Cell",JAVA Developer
Ayaan Automation System and Symtronics,06/12/2025,CGPA- 7 (Shortlist by the company),8 LPA For your kind information,-,"PPT, Aptitude and Coding Assessment, Interviews at 10 AM","CE, E&TC and IT ( UG )","Auditorium, Class Rooms T&P Cell",Graduate Engineer Trainee
Authmind,08/12/ 2025,-,-,"Rs. 22,000/- per month For your kind information","PPT, Shortlisting, Interview at 9.30 AM",CE and IT,"Auditorium Class Rooms, T&P Cell",internship
CertifyOS,10/12/2025,CGPA- 8 (Shortlist by the company),20 LPA For your kind information,-,"PPT, Interviews at 10 AM",CE and IT ( UG ),"Auditorium, T&P Cell",Data Engineer
Rockwell Automation,13/12/2025,CGPA: 7,8 LPA For your kind information,-,Aptitude and Coding Assessment at 12 PM,CE and IT (UG),Virtual,Graduate Trainee Engineer
FloQast,30/12/2025,CGPA: 8,20.50 LPA For your kind information,-,Aptitude and Coding Assessment at 1.30 PM,CE and IT (UG),Class Rooms,Software Engineer
